user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source,cluster,pca1,pca2
100000,56,Female,India,iOS,2.1,5,3.41,52.71,13,5,8,8,1,0,20,Basic,9,5,2,4.0,0.31,55.79,1152,Referral,0,-0.699469433739051,0.22698411951452385
100001,46,Male,UK,iOS,1.0,8,24.44,42.03,7,7,3,7,0,0,7,Free,8,3,3,3.0,0.87,82.39,1059,Email Campaign,2,0.3435727134468377,-0.8436438019207098
100002,32,Female,UK,iOS,1.2,12,5.34,76.69,7,5,2,21,1,0,33,Free,11,6,1,2.0,0.63,42.49,678,Google Ads,1,-0.2998721073381842,2.660222033682479
100003,25,Male,India,Android,2.0,5,3.98,65.38,16,8,4,13,0,0,17,Basic,6,3,1,3.0,0.43,62.81,92,Organic,0,-1.1587697536811912,0.4366081134997006
100004,38,Male,Australia,Android,1.0,10,12.85,57.06,13,7,3,15,0,0,21,Basic,4,4,2,5.0,0.43,38.21,772,Email Campaign,1,0.7993936396384927,1.711027886890271
100005,56,Male,India,Android,1.0,12,10.51,25.39,14,7,6,14,0,0,4,Free,7,3,1,5.0,0.65,91.45,50,Email Campaign,1,-0.7018104951839776,-1.0314673261498346
100006,36,Female,India,Android,1.2,8,19.93,14.86,15,2,5,3,0,0,43,Free,9,2,1,4.0,0.78,63.3,1161,Google Ads,3,1.2072448994049272,-1.1185802717571238
100007,40,Female,UK,Android,2.1,6,6.81,36.47,14,9,2,3,0,0,16,Premium,5,6,4,1.0,0.51,84.81,104,Organic,3,-1.1542308963978758,-1.286738471149825
100008,28,Female,Germany,Android,1.0,7,26.47,64.74,14,3,3,19,0,2,43,Free,6,3,5,4.0,0.08,72.85,989,Google Ads,2,0.3966870412673589,0.16044776778106729
100009,28,Male,Singapore,Android,1.2,8,29.84,47.77,10,6,4,19,0,0,25,Free,3,4,2,3.0,0.19,55.92,373,Facebook Ads,2,1.6631013099066057,0.2679213539913277
100010,41,Female,Australia,iOS,1.0,9,6.45,51.42,8,5,6,22,2,0,35,Basic,3,6,3,4.0,0.38,56.02,1155,Organic,1,-0.31237028155629887,0.7669500590138341
100011,53,Male,Canada,Android,2.1,6,3.45,45.83,7,3,2,8,0,0,21,Basic,7,5,2,4.0,0.32,74.7,380,Referral,0,-1.2366271127054616,-0.5490169926603107
100012,57,Male,USA,iOS,1.1,5,20.0,27.22,12,6,4,20,0,0,1,Free,5,2,1,5.0,0.07,62.19,617,Referral,3,0.925347537575647,-1.0917717239053613
100013,41,Male,USA,Android,1.2,8,5.06,37.34,8,5,4,18,1,1,44,Basic,8,5,2,1.0,0.48,67.25,255,Organic,3,-0.6023844022377983,-0.29743760027462257
100014,20,Male,USA,iOS,1.1,5,17.92,29.55,16,3,3,21,0,0,11,Basic,5,0,5,5.0,0.98,51.33,691,Google Ads,3,1.1125720018954808,-0.5976400940631338
100015,39,Female,Singapore,Android,1.2,7,34.27,34.42,13,7,2,3,1,0,35,Free,6,3,2,3.0,0.26,52.69,1130,Organic,2,2.3774219996666734,-0.30388441799851656
100016,19,Male,India,iOS,1.0,7,16.36,65.07,8,9,7,11,0,0,29,Free,8,1,3,4.0,0.25,73.52,618,Google Ads,0,-0.46929330380034623,0.24037190182081702
100017,41,Female,USA,Android,1.0,6,16.89,74.7,6,6,6,24,2,0,5,Basic,9,1,1,3.0,0.21,100.0,24,Organic,0,-1.6269859263035438,-0.5152626602232512
100018,47,Male,India,Android,2.1,10,13.69,70.42,9,4,2,18,0,0,14,Free,4,5,2,4.0,0.14,51.37,37,Facebook Ads,1,0.12059863683682422,1.7234224864382661
100019,55,Male,USA,iOS,2.1,7,10.02,41.47,7,5,4,16,0,0,34,Basic,5,2,0,3.0,0.84,68.99,306,Facebook Ads,3,-0.3674798873102566,-0.4086247371498726
